EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
93.45,-172.4094,44,44,4.023309707641602,4082,0.0,1.3862362,0.0020537972450256348,6.8213e-05,0.0015593595,0.0015593595
96.1,-183.12225,43,87,7.922335386276245,8138,0.0,1.3860767,-0.0011924505233764648,8.264503e-05,0.0012225842,0.0012225842
87.45,-149.23056,47,134,11.798844575881958,12223,0.0,1.3857825,-0.00026988983154296875,8.303269e-05,0.0016798094,0.0016798094
92.9,-159.71619,45,179,15.689277410507202,16359,0.0,1.3854513,-0.008234024047851562,8.1452294e-05,0.0015694606,0.0015694606
88.85,-176.62704,45,224,19.572813034057617,20363,0.0,1.3850434,-0.007182717323303223,7.5649215e-05,0.0012890634,0.0012890634
93.05,-183.8681,45,269,23.462815284729004,24553,0.0,1.384576,-0.0013310909271240234,8.667918e-05,0.0015787731,0.0015787731
86.775,-156.34964,46,315,27.379503965377808,28627,0.0,1.3840064,-0.0018701553344726562,8.2260274e-05,0.0016865373,0.0016865373
92.15,-153.45905,44,359,31.257554292678833,32682,0.0,1.383759,-5.424022674560547e-05,9.020674e-05,0.0021658558,0.0021658558
91.575,-118.47235,45,404,35.119959592819214,36837,0.0,1.3840475,0.00015497207641601562,7.988826e-05,0.0011295269,0.0011295269
94.925,-150.18396,44,448,39.0037624835968,40959,0.0,1.382092,-0.0006788969039916992,8.718245e-05,0.0016503434,0.0016503434
97.2,-149.58633,42,490,42.86387753486633,45031,0.0,1.3819385,-0.0026851892471313477,7.605147e-05,0.0013994712,0.0013994712
94.675,-136.92128,42,532,46.737847328186035,49050,0.0,1.3818254,-0.0035440921783447266,7.42001e-05,0.0015843171,0.0015843171
89.8,-142.95792,46,578,50.60769271850586,53180,0.0,1.3805466,-0.0006086826324462891,8.463708e-05,0.0017875348,0.0017875348
106.875,-121.499916,39,617,55.36581826210022,57331,0.0,1.3793552,0.008224070072174072,7.7239354e-05,0.0018430832,0.0018430832
95.9,-116.732155,42,659,59.25259494781494,61388,0.0,1.3812594,-0.005575060844421387,7.490305e-05,0.0015942546,0.0015942546
89.15,-121.92507,45,704,63.120267152786255,65460,0.0,1.3796828,-0.07435226440429688,7.5358876e-05,0.0017795027,0.0017795027
88.55,-135.46097,46,750,67.00851678848267,69520,0.0,1.3765981,-0.0039092302322387695,7.257743e-05,0.0016419975,0.0016419975
92.075,-128.54413,45,795,70.87870597839355,73692,0.0,1.376498,-0.002419590950012207,7.434202e-05,0.0014278203,0.0014278203
95.725,-132.24411,42,837,74.78057217597961,77722,0.0,1.3760036,-0.0009315013885498047,7.6896205e-05,0.0014904173,0.0014904173
91.425,-115.34932,45,882,78.65750217437744,81857,0.0,1.3773667,-0.0018916130065917969,6.217018e-05,0.0017596462,0.0017596462
86.2,-102.399155,47,929,82.53512454032898,85946,0.0,1.3763735,-5.1140785217285156e-05,8.443854e-05,0.0017881179,0.0017881179
94.375,-101.46737,43,972,86.42032957077026,90040,0.0,1.3771136,-0.00047588348388671875,8.2284445e-05,0.001368902,0.001368902
89.0,-104.24257,46,1018,90.3038878440857,94158,0.0,1.3750367,-0.0048493146896362305,7.6821016e-05,0.0016716246,0.0016716246
92.875,-105.13832,44,1062,94.18158221244812,98267,0.0,1.3755317,-3.9577484130859375e-05,8.933092e-05,0.0021184483,0.0021184483
95.65,-107.464645,43,1105,98.09085416793823,102339,0.0,1.3735261,0.017228543758392334,7.33775e-05,0.0016186354,0.0016186354
90.65,-97.89789,46,1151,101.98059153556824,106491,0.0,1.3743205,-0.0002759695053100586,7.281902e-05,0.0017582518,0.0017582518
94.5,-93.426956,43,1194,105.8735466003418,110512,0.0,1.3724127,-0.09574854373931885,6.748055e-05,0.0015477503,0.0015477503
92.6,-96.52012,44,1238,109.7684919834137,114642,0.0,1.369499,5.960464477539063e-08,8.709506e-05,0.0016254357,0.0016254357
96.125,-105.53436,42,1280,113.66585683822632,118750,0.0,1.3686988,-6.711483001708984e-05,8.0721016e-05,0.0015033475,0.0015033475
94.325,-112.55443,43,1323,117.54210090637207,122822,0.0,1.3686323,-6.198883056640625e-06,8.028213e-05,0.0017990037,0.0017990037
93.95,-96.01543,44,1367,121.43007397651672,126913,0.0,1.3702538,-2.968311309814453e-05,7.868359e-05,0.0014314703,0.0014314703
93.225,-104.898926,44,1411,125.31139731407166,131042,0.0,1.3664043,-1.0013580322265625e-05,8.2475075e-05,0.0015959607,0.0015959607
88.95,-88.407455,45,1456,129.2019395828247,135164,0.0,1.3683321,1.3113021850585938e-06,7.607932e-05,0.0018473436,0.0018473436
92.8,-88.09856,44,1500,133.0677125453949,139245,0.0,1.3646519,-6.902217864990234e-05,7.581807e-05,0.0015760367,0.0015760367
102.725,-94.041245,40,1540,136.9584240913391,143354,0.0,1.3672513,9.417533874511719e-06,8.47939e-05,0.0016811301,0.0016811301
89.25,-92.63716,46,1586,140.83897137641907,147444,0.0,1.3639517,-2.586841583251953e-05,7.98563e-05,0.0018266562,0.0018266562
92.725,-92.77722,43,1629,144.73304176330566,151463,0.0,1.3608937,-0.00032341480255126953,7.1602335e-05,0.0020523572,0.0020523572
94.275,-91.33887,44,1673,148.6305866241455,155597,0.0,1.3621967,5.9604644775390625e-06,8.752897e-05,0.0017285042,0.0017285042
